week_number,unavailable_count
1,13
2,14
3,13
4,13
5,12
6,16
7,16
8,12
9,9
10,9
11,11
12,11
13,12
14,10
15,10
16,13
17,11
18,9
19,13
20,7
21,7
22,8
23,7
24,7
25,18
26,15
27,5
28,7
29,21
30,19
31,19
32,5
33,7
34,3
35,9
36,4
37,7
38,7
39,7
40,7
41,8
42,21
43,3
44,4
45,3
46,3
47,19
48,18
49,4
50,8
51,10
52,7
